{LG}	spn
實	s ɐ˨ t̚
寧	n ɪ˨˩ ŋ
審	s ɐ˨˥ m
寫	s ɛː˨˥
寳	p ow˨˥
寵	tsʰ ʊ˨˥ ŋ
寶	p ow˨˥
封	f ʊ˥ ŋ
射	s ɛː˨
將	ts œː˥ ŋ
將	ts œː˧ ŋ
專	ts yː˥ n
尊	ts yː˥ n
尋	tsʰ ɐ˨˩ m
對	t ɵɥ˨˥
對	t ɵɥ˧
導	t ow˨
小	s iːw˨˥
少	s iːw˨˥
少	s iːw˧
尖	ts iː˥ m
尚	s œː˨ ŋ
尤	j ɐw˨˩
尬	k aːj˧
就	ts ɐw˨
尷	k aː˧ m
尺	tsʰ ɛː˨˥ k̚
尺	tsʰ ɛː˧ k̚
尼	n ej˨˩
尾	m ej˥
尾	m ej˨˧
局	k ʊ˨ k̚
居	k ɵɥ˥
屈	w ɐ˥ t̚
屋	ʊ˥ k̚
屌	t iːw˨˥
屍	s iː˥
屎	s iː˨˥
屏	p ɪ˨˥ ŋ
屏	pʰ ɪ˨˩ ŋ
屑	s iː˧ t̚
展	ts iː˨˥ n
屙	ɔː˥
層	tsʰ ɐ˨˩ ŋ
屬	s ʊ˨ k̚
屯	tʰ yː˨˩ n
山	s aː˥ n
岀	tsʰ ɵ˥ t̚
岡	k ɔː˥ ŋ
岩	ŋ aː˨˩ m
岳	ŋ ɔː˨ k̚
岸	ŋ ɔː˨ n
峰	f ʊ˥ ŋ
島	t ow˨˥
峻	ts ɵ˧ n
峽	h aː˨ p̚
峽	h ɐ˨ p̚
崇	s ʊ˨˩ ŋ
崩	p ɐ˥ ŋ
嶺	l ɪ˨˧ ŋ
川	tsʰ yː˥ n
州	ts ɐw˥
工	k ʊ˥ ŋ
左	ts ɔː˨˥
巧	h aːw˨˥
巧	kʰ iːw˨˥
巨	k ɵɥ˨
差	tsʰ aː˥
差	tsʰ aːj˥
己	k ej˨˥
已	j iː˨˧
巴	p aː˥
巾	k ɐ˥ n
巿	f ɐ˥ t̚
市	s iː˨˧
布	p ow˧
希	h ej˥
帖	tʰ iː˧ p̚
帝	t ɐi˧
師	s iː˥
